compound,neg,neu,pos,Bank,Sentiment
-0.5423,0.23,0.7,0.07,Bank of America,neg
-0.6808,0.189,0.811,0.0,Bank of America,neg
0.7096,0.0,0.753,0.247,Bank of America,pos
-0.6808,0.248,0.752,0.0,Bank of America,neg
0.8658,0.0,0.592,0.408,Bank of America,pos
0.8979,0.0,0.48,0.52,Bank of America,pos
0.8658,0.111,0.394,0.495,Bank of America,pos
0.5574,0.0,0.833,0.167,Bank of America,pos
-0.5574,0.31,0.69,0.0,Bank of America,neg
0.6124,0.0,0.881,0.119,Bank of America,pos
0.5574,0.0,0.735,0.265,Bank of America,pos
0.8957,0.0,0.642,0.358,Bank of America,pos
0.7964,0.0,0.712,0.288,Bank of America,pos
0.6369,0.092,0.654,0.254,Bank of America,pos
0.6249,0.0,0.164,0.836,Bank of America,pos
-0.7003,0.459,0.541,0.0,Bank of America,neg
0.9169,0.0,0.502,0.498,Bank of America,pos
0.9153,0.0,0.385,0.615,Bank of America,pos
-0.9349,0.522,0.478,0.0,Bank of America,neg
0.9633,0.0,0.49,0.51,Bank of America,pos
0.5574,0.0,0.795,0.205,Bank of America,pos
0.6597,0.0,0.828,0.172,Bank of America,pos
-0.7506,0.234,0.766,0.0,Bank of America,neg
0.8126,0.177,0.367,0.457,Bank of America,pos
0.9618,0.0,0.516,0.484,Bank of America,pos
-0.7506,0.234,0.766,0.0,Bank of America,neg
-0.5423,0.412,0.588,0.0,Bank of America,neg
0.8074,0.077,0.557,0.366,Bank of America,pos
0.7096,0.0,0.629,0.371,Bank of America,pos
0.9169,0.0,0.437,0.563,Bank of America,pos
-0.5574,0.474,0.526,0.0,Bank of America,neg
0.9042,0.0,0.756,0.244,Bank of America,pos
0.5574,0.0,0.806,0.194,Bank of America,pos
0.5574,0.0,0.847,0.153,Bank of America,pos
0.8885,0.0,0.566,0.434,Bank of America,pos
-0.6597,0.205,0.693,0.102,Bank of America,neg
-0.9136,0.428,0.572,0.0,Bank of America,neg
0.5574,0.0,0.806,0.194,Bank of America,pos
0.743,0.0,0.636,0.364,Bank of America,pos
0.6486,0.118,0.497,0.385,Bank of America,pos
0.6597,0.0,0.722,0.278,Bank of America,pos
0.6908,0.0,0.711,0.289,Bank of America,pos
-0.6344,0.242,0.661,0.097,Bank of America,neg
0.5859,0.111,0.621,0.268,Bank of America,pos
0.5574,0.0,0.769,0.231,Bank of America,pos
-0.6597,0.233,0.651,0.116,Bank of America,neg
-0.7506,0.274,0.726,0.0,Bank of America,neg
0.7579,0.0,0.629,0.371,Bank of America,pos
-0.5267,0.167,0.833,0.0,Bank of America,neg
0.7717,0.0,0.757,0.243,Bank of America,pos
-0.7579,0.224,0.776,0.0,Bank of America,neg
0.6369,0.0,0.574,0.426,Bank of America,pos
0.9042,0.081,0.562,0.357,Bank of America,pos
0.743,0.0,0.787,0.213,Bank of America,pos
0.802,0.0,0.674,0.326,Bank of America,pos
-0.688,0.387,0.613,0.0,Bank of America,neg
0.6908,0.0,0.612,0.388,Bank of America,pos
0.9153,0.0,0.566,0.434,Bank of America,pos
-0.5859,0.302,0.604,0.093,Bank of America,neg
0.5859,0.0,0.759,0.241,Bank of America,pos
0.9217,0.0,0.53,0.47,Bank of America,pos
0.872,0.0,0.618,0.382,Bank of America,pos
0.9468,0.048,0.528,0.424,Bank of America,pos
0.9432,0.0,0.5,0.5,Bank of America,pos
0.6249,0.0,0.843,0.157,Bank of America,pos
-0.6908,0.37,0.63,0.0,Bank of America,neg
-0.7184,0.438,0.562,0.0,Bank of America,neg
0.765,0.0,0.431,0.569,Bank of America,pos
-0.7506,0.204,0.796,0.0,Bank of America,neg
0.8885,0.0,0.531,0.469,Bank of America,pos
0.802,0.0,0.702,0.298,Bank of America,pos
0.5574,0.0,0.847,0.153,Bank of America,pos
-0.7003,0.238,0.64,0.122,Bank of America,neg
0.743,0.075,0.661,0.264,Bank of America,pos
0.5423,0.07,0.737,0.193,Bank of America,pos
0.5574,0.0,0.753,0.247,Bank of America,pos
-0.5267,0.167,0.833,0.0,Bank of America,neg
0.8779,0.0,0.59,0.41,Bank of America,pos
-0.7506,0.262,0.738,0.0,Bank of America,neg
0.5574,0.0,0.769,0.231,Bank of America,pos
-0.7506,0.274,0.726,0.0,Bank of America,neg
0.7351,0.0,0.819,0.181,Bank of America,pos
0.9756,0.057,0.503,0.44,Bank of America,pos
-0.7351,0.286,0.621,0.093,Bank of America,neg
0.7096,0.0,0.753,0.247,Bank of America,pos
-0.5423,0.636,0.364,0.0,Bank of America,neg
0.9349,0.0,0.512,0.488,Bank of America,pos
0.6369,0.0,0.543,0.457,Bank of America,pos
0.9423,0.0,0.557,0.443,Bank of America,pos
0.8176,0.0,0.721,0.279,Bank of America,pos
